Table_ID,Module_ID,Table_Name,Column_Name,Data_Type,Nullable,Default_Value,Description,Column_Category
GL-T007,GL,GL_JOURNALS,CONVERSION_RATE_TYPE,VARCHAR2(30),NULL,,Conversion rate type (Corporate/User),Business
GL-T007,GL,GL_JOURNALS,STATUS,VARCHAR2(30),NULL,DRAFT,DRAFT/POSTED/APPROVED/REJECTED,Business
GL-T007,GL,GL_JOURNALS,POSTING_STATUS,VARCHAR2(30),NULL,NOT_POSTED,NOT_POSTED/POSTING/POSTED/ERROR,Business
GL-T007,GL,GL_JOURNALS,SOURCE,VARCHAR2(50),NOT NULL,,Journal source (Manual/Payables/Receivables),Business
GL-T007,GL,GL_JOURNALS,CATEGORY,VARCHAR2(50),NULL,,Journal category,Business
GL-T007,GL,GL_JOURNALS,DESCRIPTION,VARCHAR2(1000),NULL,,Journal description,Business
GL-T007,GL,GL_JOURNALS,CONTROL_TOTAL,NUMBER(20,2),NULL,,Control total for validation,Business
GL-T007,GL,GL_JOURNALS,RUNNING_TOTAL_DR,NUMBER(20,2),NULL,,Running total debits,Business
GL-T007,GL,GL_JOURNALS,RUNNING_TOTAL_CR,NUMBER(20,2),NULL,,Running total credits,Business
GL-T007,GL,GL_JOURNALS,RUNNING_TOTAL_ACCOUNTED_DR,NUMBER(20,2),NULL,,Running total accounted debits,Business
GL-T007,GL,GL_JOURNALS,RUNNING_TOTAL_ACCOUNTED_CR,NUMBER(20,2),NULL,,Running total accounted credits,Business
GL-T007,GL,GL_JOURNALS,BALANCED_FLAG,VARCHAR2(1),NULL,N,Journal is balanced (Y/N),Business
GL-T007,GL,GL_JOURNALS,POSTED_DATE,TIMESTAMP,NULL,,Date journal was posted,Business
GL-T007,GL,GL_JOURNALS,POSTED_BY,NUMBER(15),NULL,,User who posted the journal,Business
GL-T007,GL,GL_JOURNALS,APPROVAL_STATUS,VARCHAR2(30),NULL,,Approval workflow status,Business
GL-T007,GL,GL_JOURNALS,APPROVED_BY,NUMBER(15),NULL,,User who approved,Business
GL-T007,GL,GL_JOURNALS,APPROVED_DATE,TIMESTAMP,NULL,,Approval timestamp,Business
GL-T007,GL,GL_JOURNALS,REVERSED_FLAG,VARCHAR2(1),NULL,N,Journal has been reversed,Business
GL-T007,GL,GL_JOURNALS,REVERSAL_PERIOD_ID,NUMBER(15),NULL,,Period in which reversed,FK
GL-T007,GL,GL_JOURNALS,REVERSAL_DATE,DATE,NULL,,Reversal date,Business
GL-T007,GL,GL_JOURNALS,REVERSAL_METHOD,VARCHAR2(30),NULL,,CHANGE_SIGN/DELETE,Business
GL-T007,GL,GL_JOURNALS,PARENT_JOURNAL_ID,NUMBER(15),NULL,,Original journal if this is reversal,FK
GL-T007,GL,GL_JOURNALS,EXTERNAL_REFERENCE,VARCHAR2(240),NULL,,External system reference,Business
GL-T007,GL,GL_JOURNALS,TAX_STATUS_CODE,VARCHAR2(30),NULL,,Tax status,Business
GL-T007,GL,GL_JOURNALS,ENCUMBRANCE_TYPE_ID,NUMBER(15),NULL,,Encumbrance type if applicable,FK
GL-T007,GL,GL_JOURNALS,ACTUAL_FLAG,VARCHAR2(1),NULL,A,A=Actual E=Encumbrance B=Budget,Business
GL-T007,GL,GL_JOURNALS,BUDGET_VERSION_ID,NUMBER(15),NULL,,Budget version if budget journal,FK
GL-T007,GL,GL_JOURNALS,JE_BATCH_ID,NUMBER(15),NULL,,Journal entry batch reference,FK
GL-T007,GL,GL_JOURNALS,REQUEST_ID,NUMBER(15),NULL,,Concurrent request ID,Business
GL-T007,GL,GL_JOURNALS,ATTRIBUTE_CATEGORY,VARCHAR2(30),NULL,,Descriptive flexfield category,DFF
GL-T007,GL,GL_JOURNALS,ATTRIBUTE1,VARCHAR2(150),NULL,,Descriptive flexfield attribute 1,DFF
GL-T007,GL,GL_JOURNALS,ATTRIBUTE2,VARCHAR2(150),NULL,,Descriptive flexfield attribute 2,DFF
GL-T007,GL,GL_JOURNALS,ATTRIBUTE3,VARCHAR2(150),NULL,,Descriptive flexfield attribute 3,DFF
GL-T007,GL,GL_JOURNALS,ATTRIBUTE4,VARCHAR2(150),NULL,,Descriptive flexfield attribute 4,DFF
GL-T007,GL,GL_JOURNALS,ATTRIBUTE5,VARCHAR2(150),NULL,,Descriptive flexfield attribute 5,DFF
GL-T007,GL,GL_JOURNALS,CREATED_BY,NUMBER(15),NOT NULL,,User who created the record,WHO
GL-T007,GL,GL_JOURNALS,CREATION_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Record creation timestamp,WHO
GL-T007,GL,GL_JOURNALS,LAST_UPDATED_BY,NUMBER(15),NOT NULL,,User who last updated the record,WHO
GL-T007,GL,GL_JOURNALS,LAST_UPDATE_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Last update timestamp,WHO
GL-T007,GL,GL_JOURNALS,LAST_UPDATE_LOGIN,NUMBER(15),NULL,,Last update login session,WHO
GL-T007,GL,GL_JOURNALS,OBJECT_VERSION_NUMBER,NUMBER(9),NOT NULL,1,Optimistic locking version,WHO

GL-T008,GL,GL_JOURNAL_LINES,JOURNAL_LINE_ID,NUMBER(15),NOT NULL,,Primary key,PK
GL-T008,GL,GL_JOURNAL_LINES,JOURNAL_ID,NUMBER(15),NOT NULL,,Journal header reference,FK
GL-T008,GL,GL_JOURNAL_LINES,LEDGER_ID,NUMBER(15),NOT NULL,,Ledger reference (denormalized),FK
GL-T008,GL,GL_JOURNAL_LINES,LINE_NUMBER,NUMBER(10),NOT NULL,,Line sequence number,Business
GL-T008,GL,GL_JOURNAL_LINES,EFFECTIVE_DATE,DATE,NULL,,Effective date (can differ from journal date),Business
GL-T008,GL,GL_JOURNAL_LINES,ACCOUNT_ID,NUMBER(15),NOT NULL,,GL account reference,FK
GL-T008,GL,GL_JOURNAL_LINES,CODE_COMBINATION_ID,NUMBER(15),NOT NULL,,Full accounting flexfield combination,FK
GL-T008,GL,GL_JOURNAL_LINES,ENTERED_DR,NUMBER(20,2),NULL,0,Debit in entered currency,Business
GL-T008,GL,GL_JOURNAL_LINES,ENTERED_CR,NUMBER(20,2),NULL,0,Credit in entered currency,Business
GL-T008,GL,GL_JOURNAL_LINES,ACCOUNTED_DR,NUMBER(20,2),NULL,0,Debit in ledger currency,Business
GL-T008,GL,GL_JOURNAL_LINES,ACCOUNTED_CR,NUMBER(20,2),NULL,0,Credit in ledger currency,Business
GL-T008,GL,GL_JOURNAL_LINES,CURRENCY_CODE,VARCHAR2(15),NOT NULL,,Line currency code,Business
GL-T008,GL,GL_JOURNAL_LINES,CURRENCY_CONVERSION_DATE,DATE,NULL,,Conversion date,Business
GL-T008,GL,GL_JOURNAL_LINES,CURRENCY_CONVERSION_RATE,NUMBER(20,10),NULL,,Conversion rate used,Business
GL-T008,GL,GL_JOURNAL_LINES,CURRENCY_CONVERSION_TYPE,VARCHAR2(30),NULL,,Conversion type,Business
GL-T008,GL,GL_JOURNAL_LINES,DESCRIPTION,VARCHAR2(1000),NULL,,Line description,Business
GL-T008,GL,GL_JOURNAL_LINES,REFERENCE1,VARCHAR2(240),NULL,,Reference field 1,Business
GL-T008,GL,GL_JOURNAL_LINES,REFERENCE2,VARCHAR2(240),NULL,,Reference field 2,Business
GL-T008,GL,GL_JOURNAL_LINES,REFERENCE3,VARCHAR2(240),NULL,,Reference field 3,Business
GL-T008,GL,GL_JOURNAL_LINES,REFERENCE4,VARCHAR2(240),NULL,,Reference field 4,Business
GL-T008,GL,GL_JOURNAL_LINES,REFERENCE5,VARCHAR2(240),NULL,,Reference field 5,Business
GL-T008,GL,GL_JOURNAL_LINES,STAT_AMOUNT,NUMBER(20,2),NULL,,Statistical amount,Business
GL-T008,GL,GL_JOURNAL_LINES,CONTEXT,VARCHAR2(150),NULL,,Flexfield context,Business
GL-T008,GL,GL_JOURNAL_LINES,CONTEXT2,VARCHAR2(150),NULL,,Additional context,Business
GL-T008,GL,GL_JOURNAL_LINES,CONTEXT3,VARCHAR2(150),NULL,,Additional context,Business
GL-T008,GL,GL_JOURNAL_LINES,SUBLEDGER_DOC_SEQUENCE_ID,NUMBER(15),NULL,,Subledger document sequence,FK
GL-T008,GL,GL_JOURNAL_LINES,GL_SL_LINK_ID,NUMBER(15),NULL,,Link to subledger,FK
GL-T008,GL,GL_JOURNAL_LINES,GL_SL_LINK_TABLE,VARCHAR2(30),NULL,,Subledger table name,Business
GL-T008,GL,GL_JOURNAL_LINES,JE_LINE_NUM,NUMBER(10),NULL,,Original source line number,Business
GL-T008,GL,GL_JOURNAL_LINES,INVOICE_ID,NUMBER(15),NULL,,Invoice reference if from AP/AR,FK
GL-T008,GL,GL_JOURNAL_LINES,INVOICE_DISTRIBUTION_ID,NUMBER(15),NULL,,Invoice distribution reference,FK
GL-T008,GL,GL_JOURNAL_LINES,QUANTITY,NUMBER(20,4),NULL,,Quantity for statistical,Business
GL-T008,GL,GL_JOURNAL_LINES,UOM_CODE,VARCHAR2(3),NULL,,Unit of measure,Business
GL-T008,GL,GL_JOURNAL_LINES,TAX_CODE_ID,NUMBER(15),NULL,,Tax code reference,FK
GL-T008,GL,GL_JOURNAL_LINES,TAX_ROUNDING_RULE_CODE,VARCHAR2(30),NULL,,Tax rounding rule,Business
GL-T008,GL,GL_JOURNAL_LINES,ATTRIBUTE_CATEGORY,VARCHAR2(30),NULL,,Descriptive flexfield category,DFF
GL-T008,GL,GL_JOURNAL_LINES,ATTRIBUTE1,VARCHAR2(150),NULL,,Descriptive flexfield attribute 1,DFF
GL-T008,GL,GL_JOURNAL_LINES,ATTRIBUTE2,VARCHAR2(150),NULL,,Descriptive flexfield attribute 2,DFF
GL-T008,GL,GL_JOURNAL_LINES,ATTRIBUTE3,VARCHAR2(150),NULL,,Descriptive flexfield attribute 3,DFF
GL-T008,GL,GL_JOURNAL_LINES,ATTRIBUTE4,VARCHAR2(150),NULL,,Descriptive flexfield attribute 4,DFF
GL-T008,GL,GL_JOURNAL_LINES,ATTRIBUTE5,VARCHAR2(150),NULL,,Descriptive flexfield attribute 5,DFF
GL-T008,GL,GL_JOURNAL_LINES,CREATED_BY,NUMBER(15),NOT NULL,,User who created the record,WHO
GL-T008,GL,GL_JOURNAL_LINES,CREATION_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Record creation timestamp,WHO
GL-T008,GL,GL_JOURNAL_LINES,LAST_UPDATED_BY,NUMBER(15),NOT NULL,,User who last updated the record,WHO
GL-T008,GL,GL_JOURNAL_LINES,LAST_UPDATE_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Last update timestamp,WHO
GL-T008,GL,GL_JOURNAL_LINES,LAST_UPDATE_LOGIN,NUMBER(15),NULL,,Last update login session,WHO
GL-T008,GL,GL_JOURNAL_LINES,OBJECT_VERSION_NUMBER,NUMBER(9),NOT NULL,1,Optimistic locking version,WHO

AP-T003,AP,AP_INVOICES,INVOICE_ID,NUMBER(15),NOT NULL,,Primary key,PK
AP-T003,AP,AP_INVOICES,ORG_ID,NUMBER(15),NOT NULL,,Operating unit,MultiOrg
AP-T003,AP,AP_INVOICES,BU_ID,NUMBER(15),NOT NULL,,Business unit reference,MultiOrg
AP-T003,AP,AP_INVOICES,LEDGER_ID,NUMBER(15),NOT NULL,,Ledger reference,FK
AP-T003,AP,AP_INVOICES,INVOICE_NUMBER,VARCHAR2(50),NOT NULL,,Invoice number from supplier,Business
AP-T003,AP,AP_INVOICES,INVOICE_TYPE,VARCHAR2(30),NULL,STANDARD,STANDARD/CREDIT/DEBIT/PREPAYMENT,Business
AP-T003,AP,AP_INVOICES,SUPPLIER_ID,NUMBER(15),NOT NULL,,Supplier reference,FK
AP-T003,AP,AP_INVOICES,SUPPLIER_SITE_ID,NUMBER(15),NOT NULL,,Supplier site reference,FK
AP-T003,AP,AP_INVOICES,INVOICE_DATE,DATE,NOT NULL,,Invoice date,Business
AP-T003,AP,AP_INVOICES,GL_DATE,DATE,NOT NULL,,GL accounting date,Business
AP-T003,AP,AP_INVOICES,DUE_DATE,DATE,NULL,,Payment due date,Business
AP-T003,AP,AP_INVOICES,TERMS_ID,NUMBER(15),NULL,,Payment terms reference,FK
AP-T003,AP,AP_INVOICES,TERMS_DATE,DATE,NULL,,Terms start date,Business
AP-T003,AP,AP_INVOICES,INVOICE_CURRENCY_CODE,VARCHAR2(15),NOT NULL,,Invoice currency,Business
AP-T003,AP,AP_INVOICES,PAYMENT_CURRENCY_CODE,VARCHAR2(15),NULL,,Payment currency,Business
AP-T003,AP,AP_INVOICES,EXCHANGE_RATE,NUMBER(20,10),NULL,,Currency exchange rate,Business
AP-T003,AP,AP_INVOICES,EXCHANGE_RATE_TYPE,VARCHAR2(30),NULL,,Exchange rate type,Business
AP-T003,AP,AP_INVOICES,EXCHANGE_DATE,DATE,NULL,,Exchange rate date,Business
AP-T003,AP,AP_INVOICES,INVOICE_AMOUNT,NUMBER(20,2),NOT NULL,,Total invoice amount,Business
AP-T003,AP,AP_INVOICES,BASE_AMOUNT,NUMBER(20,2),NULL,,Amount in ledger currency,Business
AP-T003,AP,AP_INVOICES,TAX_AMOUNT,NUMBER(20,2),NULL,0,Total tax amount,Business
AP-T003,AP,AP_INVOICES,AMOUNT_PAID,NUMBER(20,2),NULL,0,Amount paid to date,Business
AP-T003,AP,AP_INVOICES,DISCOUNT_AMOUNT_TAKEN,NUMBER(20,2),NULL,0,Discount taken,Business
AP-T003,AP,AP_INVOICES,AMOUNT_APPLICABLE_TO_DISCOUNT,NUMBER(20,2),NULL,,Amount eligible for discount,Business
AP-T003,AP,AP_INVOICES,PAYMENT_STATUS,VARCHAR2(30),NULL,UNPAID,UNPAID/PARTIALLY_PAID/FULLY_PAID,Business
AP-T003,AP,AP_INVOICES,APPROVAL_STATUS,VARCHAR2(30),NULL,NEEDS_APPROVAL,Approval workflow status,Business
AP-T003,AP,AP_INVOICES,APPROVED_DATE,TIMESTAMP,NULL,,Approval date,Business
AP-T003,AP,AP_INVOICES,APPROVED_BY,NUMBER(15),NULL,,User who approved,Business
AP-T003,AP,AP_INVOICES,POSTING_STATUS,VARCHAR2(30),NULL,NOT_POSTED,NOT_POSTED/POSTED/ERROR,Business
AP-T003,AP,AP_INVOICES,POSTED_DATE,TIMESTAMP,NULL,,GL posting date,Business
AP-T003,AP,AP_INVOICES,POSTED_FLAG,VARCHAR2(1),NULL,N,Posted to GL (Y/N),Business
AP-T003,AP,AP_INVOICES,WFAPPROVAL_STATUS,VARCHAR2(30),NULL,,Workflow approval status,Business
AP-T003,AP,AP_INVOICES,CANCELLED_DATE,TIMESTAMP,NULL,,Cancellation date,Business
AP-T003,AP,AP_INVOICES,CANCELLED_BY,NUMBER(15),NULL,,User who cancelled,Business
AP-T003,AP,AP_INVOICES,CANCELLED_AMOUNT,NUMBER(20,2),NULL,,Cancelled amount,Business
AP-T003,AP,AP_INVOICES,DESCRIPTION,VARCHAR2(1000),NULL,,Invoice description,Business
AP-T003,AP,AP_INVOICES,SOURCE,VARCHAR2(30),NULL,MANUAL,MANUAL/IMPORT/EDI/OCR,Business
AP-T003,AP,AP_INVOICES,VOUCHER_NUMBER,VARCHAR2(50),NULL,,Voucher number,Business
AP-T003,AP,AP_INVOICES,DOC_CATEGORY_CODE,VARCHAR2(30),NULL,,Document category,Business
AP-T003,AP,AP_INVOICES,PAYMENT_METHOD_CODE,VARCHAR2(30),NULL,,Payment method,Business
AP-T003,AP,AP_INVOICES,PAYMENT_PRIORITY,NUMBER(2),NULL,,Payment priority,Business
AP-T003,AP,AP_INVOICES,PAY_GROUP_LOOKUP_CODE,VARCHAR2(30),NULL,,Payment grouping,Business
AP-T003,AP,AP_INVOICES,INVOICE_RECEIVED_DATE,DATE,NULL,,Date invoice received,Business
AP-T003,AP,AP_INVOICES,GOODS_RECEIVED_DATE,DATE,NULL,,Goods receipt date,Business
AP-T003,AP,AP_INVOICES,INVOICE_TYPE_LOOKUP_CODE,VARCHAR2(30),NULL,,Invoice type lookup,Business
AP-T003,AP,AP_INVOICES,REFERENCE_1,VARCHAR2(240),NULL,,Reference field 1,Business
AP-T003,AP,AP_INVOICES,REFERENCE_2,VARCHAR2(240),NULL,,Reference field 2,Business
AP-T003,AP,AP_INVOICES,EXTERNAL_BANK_ACCOUNT_ID,NUMBER(15),NULL,,Supplier bank account,FK
AP-T003,AP,AP_INVOICES,REMITTANCE_BANK_ACCOUNT_ID,NUMBER(15),NULL,,Company bank account,FK
AP-T003,AP,AP_INVOICES,REQUESTER_ID,NUMBER(15),NULL,,Employee requester,FK
AP-T003,AP,AP_INVOICES,LEGAL_ENTITY_ID,NUMBER(15),NULL,,Legal entity,FK
AP-T003,AP,AP_INVOICES,ATTRIBUTE_CATEGORY,VARCHAR2(30),NULL,,Descriptive flexfield category,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE1,VARCHAR2(150),NULL,,Descriptive flexfield attribute 1,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE2,VARCHAR2(150),NULL,,Descriptive flexfield attribute 2,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE3,VARCHAR2(150),NULL,,Descriptive flexfield attribute 3,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE4,VARCHAR2(150),NULL,,Descriptive flexfield attribute 4,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE5,VARCHAR2(150),NULL,,Descriptive flexfield attribute 5,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE6,VARCHAR2(150),NULL,,Descriptive flexfield attribute 6,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE7,VARCHAR2(150),NULL,,Descriptive flexfield attribute 7,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE8,VARCHAR2(150),NULL,,Descriptive flexfield attribute 8,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE9,VARCHAR2(150),NULL,,Descriptive flexfield attribute 9,DFF
AP-T003,AP,AP_INVOICES,ATTRIBUTE10,VARCHAR2(150),NULL,,Descriptive flexfield attribute 10,DFF
AP-T003,AP,AP_INVOICES,CREATED_BY,NUMBER(15),NOT NULL,,User who created the record,WHO
AP-T003,AP,AP_INVOICES,CREATION_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Record creation timestamp,WHO
AP-T003,AP,AP_INVOICES,LAST_UPDATED_BY,NUMBER(15),NOT NULL,,User who last updated the record,WHO
AP-T003,AP,AP_INVOICES,LAST_UPDATE_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Last update timestamp,WHO
AP-T003,AP,AP_INVOICES,LAST_UPDATE_LOGIN,NUMBER(15),NULL,,Last update login session,WHO
AP-T003,AP,AP_INVOICES,OBJECT_VERSION_NUMBER,NUMBER(9),NOT NULL,1,Optimistic locking version,WHO
AP-T003,AP,AP_INVOICES,REQUEST_ID,NUMBER(15),NULL,,Concurrent request ID,WHO
AP-T003,AP,AP_INVOICES,PROGRAM_APPLICATION_ID,NUMBER(15),NULL,,Program application ID,WHO
AP-T003,AP,AP_INVOICES,PROGRAM_ID,NUMBER(15),NULL,,Concurrent program ID,WHO
AP-T003,AP,AP_INVOICES,PROGRAM_UPDATE_DATE,TIMESTAMP,NULL,,Program update date,WHO

HCM-T001,HCM,HCM_EMPLOYEES,EMPLOYEE_ID,NUMBER(15),NOT NULL,,Primary key,PK
HCM-T001,HCM,HCM_EMPLOYEES,BU_ID,NUMBER(15),NOT NULL,,Business unit reference,MultiOrg
HCM-T001,HCM,HCM_EMPLOYEES,LEGAL_ENTITY_ID,NUMBER(15),NOT NULL,,Legal entity,MultiOrg
HCM-T001,HCM,HCM_EMPLOYEES,EMPLOYEE_NUMBER,VARCHAR2(50),NOT NULL,,Unique employee number,Business
HCM-T001,HCM,HCM_EMPLOYEES,PERSON_ID,NUMBER(15),NOT NULL,,Person reference,FK
HCM-T001,HCM,HCM_EMPLOYEES,FIRST_NAME,VARCHAR2(100),NOT NULL,,First name,Business
HCM-T001,HCM,HCM_EMPLOYEES,LAST_NAME,VARCHAR2(100),NOT NULL,,Last name,Business
HCM-T001,HCM,HCM_EMPLOYEES,MIDDLE_NAME,VARCHAR2(100),NULL,,Middle name,Business
HCM-T001,HCM,HCM_EMPLOYEES,FULL_NAME,VARCHAR2(240),NULL,,Concatenated full name,Business
HCM-T001,HCM,HCM_EMPLOYEES,DISPLAY_NAME,VARCHAR2(240),NULL,,Display name format,Business
HCM-T001,HCM,HCM_EMPLOYEES,HIRE_DATE,DATE,NOT NULL,,Hire date,Business
HCM-T001,HCM,HCM_EMPLOYEES,ORIGINAL_HIRE_DATE,DATE,NULL,,Original hire date if rehire,Business
HCM-T001,HCM,HCM_EMPLOYEES,TERMINATION_DATE,DATE,NULL,,Termination date,Business
HCM-T001,HCM,HCM_EMPLOYEES,TERMINATION_REASON,VARCHAR2(30),NULL,,Termination reason code,Business
HCM-T001,HCM,HCM_EMPLOYEES,EMPLOYEE_STATUS,VARCHAR2(30),NULL,ACTIVE,ACTIVE/TERMINATED/LOA/SUSPENDED,Business
HCM-T001,HCM,HCM_EMPLOYEES,EMPLOYMENT_TYPE,VARCHAR2(30),NULL,,FULL_TIME/PART_TIME/CONTRACT/INTERN,Business
HCM-T001,HCM,HCM_EMPLOYEES,EMPLOYMENT_CATEGORY,VARCHAR2(30),NULL,,Employment category,Business
HCM-T001,HCM,HCM_EMPLOYEES,WORK_EMAIL,VARCHAR2(240),NULL,,Work email address,Business
HCM-T001,HCM,HCM_EMPLOYEES,PERSONAL_EMAIL,VARCHAR2(240),NULL,,Personal email address,Business
HCM-T001,HCM,HCM_EMPLOYEES,WORK_PHONE,VARCHAR2(50),NULL,,Work phone number,Business
HCM-T001,HCM,HCM_EMPLOYEES,MOBILE_PHONE,VARCHAR2(50),NULL,,Mobile phone number,Business
HCM-T001,HCM,HCM_EMPLOYEES,MANAGER_ID,NUMBER(15),NULL,,Manager employee reference,FK
HCM-T001,HCM,HCM_EMPLOYEES,USER_ID,NUMBER(15),NULL,,System user reference,FK
