Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
AR-172,Accounts Receivable,Write-offs,Small Balance Write-off,Automatic write-off of small balances,Medium,Medium,Not Started,AR-170,5,,Not Started,Not Started,Yes,Efficiency,Auto write-off works
AR-173,Accounts Receivable,Write-offs,Write-off Recovery,Recover previously written-off amounts,Medium,Medium,Not Started,AR-170,6,,Not Started,Not Started,Yes,Recovery tracking,Recovery works
AR-180,Accounts Receivable,Credit Memos,Credit Memo Creation,Issue credits to customers,Critical,High,Not Started,AR-050,8,,Not Started,Not Started,Yes,Credit processing,Credit memos created
AR-181,Accounts Receivable,Credit Memos,Credit Application,Apply credits to invoices or balance,High,High,Not Started,AR-180,7,,Not Started,Not Started,Yes,Credit management,Application works
AR-182,Accounts Receivable,Credit Memos,Credit Refund,Process refunds for credits,High,High,Not Started,AR-180,7,,Not Started,Not Started,Yes,Refund processing,Refunds work
AR-183,Accounts Receivable,Credit Memos,Return Management,Link credits to return authorizations,Medium,Medium,Not Started,AR-180,6,,Not Started,Not Started,Yes,Return processing,RMA integration works
AR-190,Accounts Receivable,Debit Memos,Debit Memo Creation,Issue additional charges to customers,Medium,Medium,Not Started,AR-050,6,,Not Started,Not Started,Yes,Additional billing,Debit memos created
AR-191,Accounts Receivable,Debit Memos,Debit Reason Codes,Categorize debit reasons,Medium,Low,Not Started,AR-190,3,,Not Started,Not Started,Yes,Debit classification,Codes work
AR-200,Accounts Receivable,Refunds,Refund Processing,Process refunds to customers,High,High,Not Started,AR-001,8,,Not Started,Not Started,Yes,Refund management,Refund processing works
AR-201,Accounts Receivable,Refunds,Refund Approval,Approval workflow for refunds,High,High,Not Started,AR-200 UR-170,7,,Not Started,Not Started,Yes,Authorization control,Approval works
AR-202,Accounts Receivable,Refunds,Refund Payment,Generate refund checks or transfers,High,Medium,Not Started,AR-200,6,,Not Started,Not Started,Yes,Payment execution,Refund payment works
AR-210,Accounts Receivable,Aging Analysis,AR Aging Report,Age receivables by due date,Critical,Medium,Not Started,AR-050,6,,Not Started,Not Started,Yes,Collections tool,Aging report works
AR-211,Accounts Receivable,Aging Analysis,Aging Buckets,Current 30 60 90 120+ day buckets,High,Low,Not Started,AR-210,3,,Not Started,Not Started,Yes,Standard aging,Buckets configured
AR-212,Accounts Receivable,Aging Analysis,Forward Aging,Future-dated aging analysis,Medium,Medium,Not Started,AR-210,5,,Not Started,Not Started,Yes,Cash forecasting,Forward aging works
AR-213,Accounts Receivable,Aging Analysis,Historical Snapshots,Store historical aging snapshots,Medium,Medium,Not Started,AR-210,6,,Not Started,Not Started,Yes,Trend analysis,Snapshots stored
AR-220,Accounts Receivable,DSO Analysis,DSO Calculation,Calculate Days Sales Outstanding,High,Medium,Not Started,AR-050,6,,Not Started,Not Started,Yes,Performance metric,DSO calculated
AR-221,Accounts Receivable,DSO Analysis,DSO Trending,Track DSO trends over time,Medium,Medium,Not Started,AR-220,5,,Not Started,Not Started,Yes,Performance tracking,Trending works
AR-222,Accounts Receivable,DSO Analysis,DSO by Segment,Calculate DSO by customer segment,Medium,Medium,Not Started,AR-220,6,,Not Started,Not Started,Yes,Segment analysis,Segmentation works
AR-230,Accounts Receivable,Dunning,Dunning Configuration,Setup dunning levels and templates,High,Medium,Not Started,AR-001,6,,Not Started,Not Started,Yes,Collections automation,Dunning configured
AR-231,Accounts Receivable,Dunning,Dunning Execution,Generate and send dunning letters,High,High,Not Started,AR-230,7,,Not Started,Not Started,Yes,Automated dunning,Execution works
AR-232,Accounts Receivable,Dunning,Dunning Email Delivery,Email dunning letters to customers,High,Medium,Not Started,AR-231,5,,Not Started,Not Started,Yes,Electronic delivery,Email delivery works
AR-240,Accounts Receivable,Customer Statements,Statement Generation,Generate customer statements,High,Medium,Not Started,AR-001,6,,Not Started,Not Started,Yes,Customer communication,Statements generated
AR-241,Accounts Receivable,Customer Statements,Statement Types,Open Item Balance Forward Consolidated,Medium,Medium,Not Started,AR-240,5,,Not Started,Not Started,Yes,Statement options,Types supported
AR-242,Accounts Receivable,Customer Statements,Statement Delivery,Email or print delivery,High,Medium,Not Started,AR-240,5,,Not Started,Not Started,Yes,Statement distribution,Delivery works
AR-250,Accounts Receivable,Tax Management,Tax Code Setup,Define tax codes and rates,High,Medium,Not Started,,5,,Not Started,Not Started,Yes,Tax compliance,Tax codes configured
AR-251,Accounts Receivable,Tax Management,Tax Calculation,Automatic tax calculation on invoices,High,High,Not Started,AR-250,7,,Not Started,Not Started,Yes,Tax automation,Calculation works
AR-252,Accounts Receivable,Tax Management,Tax Exemptions,Handle tax-exempt customers,Medium,Medium,Not Started,AR-250,5,,Not Started,Not Started,Yes,Exemption processing,Exemptions work
AR-253,Accounts Receivable,Tax Management,Tax Reporting,Sales tax liability reports,High,High,Not Started,AR-250,7,,Not Started,Not Started,Yes,Tax compliance,Reporting works
AR-260,Accounts Receivable,Revenue Recognition,Revenue Recognition Rules,Configure ASC 606 IFRS 15 rules,High,High,Not Started,AR-050,9,,Not Started,Not Started,Yes,Revenue compliance,Rules configured
AR-261,Accounts Receivable,Revenue Recognition,Deferred Revenue,Calculate and track deferred revenue,High,High,Not Started,AR-260,8,,Not Started,Not Started,Yes,Revenue deferral,Deferral works
AR-262,Accounts Receivable,Revenue Recognition,Revenue Recognition Processing,Automatic revenue recognition,High,High,Not Started,AR-260,8,,Not Started,Not Started,Yes,Automation,Processing works
AR-263,Accounts Receivable,Revenue Recognition,Contract Management,Manage revenue contracts,Medium,High,Not Started,AR-260,9,,Not Started,Not Started,Yes,Contract tracking,Management works
AR-270,Accounts Receivable,Lockbox,Lockbox Setup,Configure bank lockbox processing,Medium,High,Not Started,AR-100,8,,Not Started,Not Started,Yes,Automated receipts,Lockbox configured
AR-271,Accounts Receivable,Lockbox,Lockbox Import,Import and process lockbox files,Medium,High,Not Started,AR-270,8,,Not Started,Not Started,Yes,File processing,Import works
AR-272,Accounts Receivable,Lockbox,Lockbox Matching,Match lockbox receipts to invoices,Medium,High,Not Started,AR-271,8,,Not Started,Not Started,Yes,Auto-application,Matching works
AR-280,Accounts Receivable,Period Close,AR Period Close,Month-end close procedures for AR,Critical,High,Not Started,AR-050,8,,Not Started,Not Started,Yes,Financial close,Close process works
AR-281,Accounts Receivable,Period Close,Revenue Cutoff,Enforce revenue cutoff dates,Critical,Medium,Not Started,AR-280,6,,Not Started,Not Started,Yes,Accurate financials,Cutoff enforced
AR-282,Accounts Receivable,Period Close,AR to GL Reconciliation,Reconcile AR subledger to GL,Critical,High,Not Started,AR-280 GL-180,8,,Not Started,Not Started,Yes,Data integrity,Reconciliation works
AR-283,Accounts Receivable,Period Close,Deferred Revenue Calculation,Calculate period-end deferred revenue,High,High,Not Started,AR-280,7,,Not Started,Not Started,Yes,Revenue accuracy,Calculation works
AR-290,Accounts Receivable,Reporting,Invoice Register,Detailed invoice listing report,High,Low,Not Started,AR-050,4,,Not Started,Not Started,Yes,Transaction detail,Register works
AR-291,Accounts Receivable,Reporting,Receipt Register,Detailed receipt listing report,High,Low,Not Started,AR-100,4,,Not Started,Not Started,Yes,Cash detail,Register works
AR-292,Accounts Receivable,Reporting,Customer Balance Report,Current balance by customer,High,Low,Not Started,AR-001,4,,Not Started,Not Started,Yes,Balance inquiry,Report works
AR-293,Accounts Receivable,Reporting,Collections Activity Report,Collections activities and outcomes,High,Medium,Not Started,AR-152,5,,Not Started,Not Started,Yes,Activity tracking,Report works
AR-294,Accounts Receivable,Reporting,Revenue Report,Revenue by customer product period,High,Medium,Not Started,AR-050,6,,Not Started,Not Started,Yes,Revenue analysis,Report works
AR-300,Accounts Receivable,Analytics,Revenue Analytics,Analyze revenue trends and patterns,Medium,High,Not Started,AR-050,8,,Not Started,Not Started,Yes,Business intelligence,Analytics work
AR-301,Accounts Receivable,Analytics,Customer Profitability,Analyze customer profitability,Medium,High,Not Started,AR-001,8,,Not Started,Not Started,Yes,Profitability analysis,Analysis works
AR-302,Accounts Receivable,Analytics,Collections Effectiveness,Measure collections performance,Medium,High,Not Started,AR-150,7,,Not Started,Not Started,Yes,Performance metrics,Measurement works
AR-303,Accounts Receivable,Analytics,Cash Forecast,Forecast cash collections,Medium,High,Not Started,AR-210,8,,Not Started,Not Started,Yes,Cash planning,Forecast works
AR-310,Accounts Receivable,Customer Portal,Portal Access,Customer self-service portal,Medium,High,Not Started,AR-001,9,,Not Started,Not Started,Yes,Customer self-service,Portal functional
AR-311,Accounts Receivable,Customer Portal,Invoice Inquiry,Customers view invoice status,Medium,Medium,Not Started,AR-310,6,,Not Started,Not Started,Yes,Customer visibility,Inquiry works
AR-312,Accounts Receivable,Customer Portal,Online Payment,Process online customer payments,High,High,Not Started,AR-310,9,,Not Started,Not Started,Yes,Payment convenience,Online payment works
AR-313,Accounts Receivable,Customer Portal,Statement Download,Customers download statements,Medium,Low,Not Started,AR-310,4,,Not Started,Not Started,Yes,Self-service,Download works
AR-320,Accounts Receivable,Integration,GL Integration,Post AR transactions to GL,Critical,High,Not Started,GL-200,9,,Not Started,Not Started,Yes,Financial integration,GL posting works
AR-321,Accounts Receivable,Integration,Order Management Integration,Integrate with sales orders,Critical,High,Not Started,AR-060,9,,Not Started,Not Started,Yes,Order to cash,OM integration works
AR-322,Accounts Receivable,Integration,Cash Management Integration,Integrate with cash management,High,High,Not Started,AR-100,8,,Not Started,Not Started,Yes,Cash visibility,CM integration works
AR-330,Accounts Receivable,Advanced Features,Credit Card Processing,Process credit card payments,High,High,Not Started,AR-100,9,,Not Started,Not Started,Yes,Payment option,CC processing works
AR-331,Accounts Receivable,Advanced Features,Electronic Invoicing,EDI and XML invoice delivery,Medium,High,Not Started,AR-050,8,,Not Started,Not Started,Yes,Automation,E-invoicing works
AR-332,Accounts Receivable,Advanced Features,Predictive Collections,AI-powered collections prioritization,Low,High,Not Started,AR-150,10,,Not Started,Not Started,No,Advanced analytics,Prediction works
AR-340,Accounts Receivable,Security,AR Roles,Predefined AR roles (Manager Clerk Collector),Critical,Medium,Not Started,UR-025,5,,Not Started,Not Started,Yes,Access control,Roles configured
AR-341,Accounts Receivable,Security,Approval Limits,Invoice adjustment write-off approval limits,High,Medium,Not Started,UR-534,5,,Not Started,Not Started,Yes,Authorization control,Limits enforced
AR-342,Accounts Receivable,Security,Data Security,Business unit and customer data access,High,High,Not Started,UR-040,7,,Not Started,Not Started,Yes,Data isolation,Security enforced
AR-343,Accounts Receivable,Security,Audit Trail,Complete AR activity audit trail,Critical,Medium,Not Started,UR-140,6,,Not Started,Not Started,Yes,Compliance,Audit trail complete
AR-350,Accounts Receivable,Technical,Performance,Support high-volume invoice processing,Critical,High,Not Started,,8,,Not Started,Not Started,Yes,Scalability,Performance requirements met
AR-351,Accounts Receivable,Technical,API Integration,REST APIs for AR operations,High,High,Not Started,,9,,Not Started,Not Started,Yes,System integration,APIs functional
AR-360,Accounts Receivable,Compliance,Revenue Recognition Compliance,ASC 606 IFRS 15 compliance,High,High,Not Started,AR-260,8,,Not Started,Not Started,Yes,Revenue standards,Compliance met
AR-361,Accounts Receivable,Compliance,SOX Compliance,SOX controls for AR,High,High,Not Started,UR-271,7,,Not Started,Not Started,Yes,Regulatory compliance,SOX compliant
AR-362,Accounts Receivable,Compliance,Tax Compliance,Sales tax reporting and compliance,High,High,Not Started,AR-253,8,,Not Started,Not Started,Yes,Tax requirements,Compliance met
