Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
OM-151,Order Management,Invoicing,Invoice Consolidation,Consolidate multiple orders to one invoice,High,High,Not Started,OM-150,7,,Not Started,Not Started,Yes,Billing efficiency,Consolidation works
OM-152,Order Management,Invoicing,Partial Invoicing,Invoice partial shipments,High,Medium,Not Started,OM-150,6,,Not Started,Not Started,Yes,Flexible billing,Partial invoicing works
OM-153,Order Management,Invoicing,Milestone Invoicing,Invoice by project milestones,Medium,High,Not Started,OM-150,8,,Not Started,Not Started,Yes,Progress billing,Milestone invoicing works
OM-154,Order Management,Invoicing,Invoice to AR Transfer,Transfer invoices to AR module,Critical,High,Not Started,OM-150 AR-320,9,,Not Started,Not Started,Yes,AR integration,Transfer works
OM-160,Order Management,Back Orders,Back Order Creation,Automatically create back orders,High,High,Not Started,OM-020,7,,Not Started,Not Started,Yes,Partial fulfillment,Back orders created
OM-161,Order Management,Back Orders,Back Order Notification,Notify customers of back orders,Medium,Medium,Not Started,OM-160,5,,Not Started,Not Started,Yes,Customer communication,Notifications sent
OM-162,Order Management,Back Orders,Back Order Fulfillment,Fulfill back orders when stock available,High,High,Not Started,OM-160,8,,Not Started,Not Started,Yes,Order completion,Fulfillment works
OM-163,Order Management,Back Orders,Partial vs Complete Ship,Configure partial or complete shipment,High,Medium,Not Started,OM-160,5,,Not Started,Not Started,Yes,Shipping strategy,Configuration works
OM-164,Order Management,Back Orders,Back Order Cancellation,Cancel back orders by customer request,Medium,Low,Not Started,OM-160,4,,Not Started,Not Started,Yes,Order management,Cancellation works
OM-170,Order Management,Commissions,Commission Plans,Define sales commission plans,Medium,High,Not Started,,7,,Not Started,Not Started,Yes,Sales compensation,Plans configured
OM-171,Order Management,Commissions,Commission Rates,Set commission rates and tiers,Medium,Medium,Not Started,OM-170,5,,Not Started,Not Started,Yes,Compensation structure,Rates set
OM-172,Order Management,Commissions,Commission Calculation,Calculate sales commissions,Medium,High,Not Started,OM-170,8,,Not Started,Not Started,Yes,Compensation processing,Calculation works
OM-173,Order Management,Commissions,Split Commissions,Split commissions among multiple reps,Medium,Medium,Not Started,OM-170,6,,Not Started,Not Started,Yes,Team selling,Split works
OM-174,Order Management,Commissions,Commission Reporting,Commission reports for salespeople,Medium,Medium,Not Started,OM-172,6,,Not Started,Not Started,Yes,Compensation visibility,Reports functional
OM-180,Order Management,Period Close,OM Period Close,Month-end close for order management,Critical,High,Not Started,OM-020,8,,Not Started,Not Started,Yes,Financial close,Close process works
OM-181,Order Management,Period Close,Order Entry Cutoff,Enforce order entry cutoff dates,Critical,Medium,Not Started,OM-180,6,,Not Started,Not Started,Yes,Period control,Cutoff enforced
OM-182,Order Management,Period Close,Shipment Cutoff,Enforce shipment cutoff dates,Critical,Medium,Not Started,OM-180,6,,Not Started,Not Started,Yes,Revenue cutoff,Cutoff enforced
OM-183,Order Management,Period Close,Revenue Recognition,Recognize revenue per policy,Critical,High,Not Started,OM-180,9,,Not Started,Not Started,Yes,Revenue accounting,Recognition works
OM-184,Order Management,Period Close,Unbilled Shipments,Track unbilled shipped orders,High,Medium,Not Started,OM-180,6,,Not Started,Not Started,Yes,Accrual tracking,Unbilled tracked
OM-185,Order Management,Period Close,Unshipped Orders,Review unshipped order backlog,High,Medium,Not Started,OM-180,5,,Not Started,Not Started,Yes,Backlog analysis,Review works
OM-190,Order Management,Reporting,Open Orders Report,Report open sales orders,High,Low,Not Started,OM-020,4,,Not Started,Not Started,Yes,Order visibility,Report works
OM-191,Order Management,Reporting,Order Status Report,Detailed order status report,High,Low,Not Started,OM-030,4,,Not Started,Not Started,Yes,Status tracking,Report works
OM-192,Order Management,Reporting,Backlog Report,Order backlog analysis,High,Medium,Not Started,OM-020,5,,Not Started,Not Started,Yes,Backlog visibility,Report works
OM-193,Order Management,Reporting,Shipment Register,Detailed shipment listing,High,Low,Not Started,OM-120,4,,Not Started,Not Started,Yes,Shipment tracking,Report works
OM-194,Order Management,Reporting,Sales Analysis,Sales by customer product region,High,High,Not Started,OM-020,8,,Not Started,Not Started,Yes,Sales intelligence,Analysis works
OM-195,Order Management,Reporting,On-Time Delivery,On-time delivery performance,Medium,Medium,Not Started,OM-120,6,,Not Started,Not Started,Yes,Performance metrics,Metrics calculated
OM-196,Order Management,Reporting,Order Fill Rate,Order fill rate metrics,Medium,Medium,Not Started,OM-020,6,,Not Started,Not Started,Yes,Fulfillment metrics,Fill rate calculated
OM-200,Order Management,Analytics,Sales Analytics,Analyze sales trends and patterns,Medium,High,Not Started,OM-020,8,,Not Started,Not Started,Yes,Business intelligence,Analytics work
OM-201,Order Management,Analytics,Order Cycle Time,Calculate order cycle time metrics,Medium,Medium,Not Started,OM-020,6,,Not Started,Not Started,Yes,Performance tracking,Metrics calculated
OM-202,Order Management,Analytics,Perfect Order Rate,Calculate perfect order percentage,Medium,High,Not Started,OM-020,7,,Not Started,Not Started,Yes,Quality metrics,Calculation works
OM-203,Order Management,Analytics,Product Performance,Analyze product sales performance,Medium,High,Not Started,OM-020,7,,Not Started,Not Started,Yes,Product analysis,Analysis works
OM-210,Order Management,Integration,AR Integration,Integrate with Accounts Receivable,Critical,High,Not Started,AR-320,9,,Not Started,Not Started,Yes,Order to cash,AR integration works
OM-211,Order Management,Integration,Inventory Integration,Integrate with Inventory Management,Critical,High,Not Started,INV-190,9,,Not Started,Not Started,Yes,Stock management,Inventory integration works
OM-212,Order Management,Integration,GL Integration,Post revenue and COGS to GL,Critical,High,Not Started,GL-200,9,,Not Started,Not Started,Yes,Financial integration,GL posting works
OM-213,Order Management,Integration,CRM Integration,Integrate with CRM system,Medium,High,Not Started,OM-020,8,,Not Started,Not Started,Yes,Sales process,CRM integration works
OM-220,Order Management,Security,OM Roles,Predefined OM roles (Manager Sales Rep),Critical,Medium,Not Started,UR-025,5,,Not Started,Not Started,Yes,Access control,Roles configured
OM-221,Order Management,Security,Order Entry Privileges,Control order entry access,High,Medium,Not Started,UR-060,5,,Not Started,Not Started,Yes,Function control,Privileges enforced
OM-222,Order Management,Security,Price Override Authority,Approval limits for price overrides,High,Medium,Not Started,UR-534,5,,Not Started,Not Started,Yes,Pricing control,Authority enforced
OM-223,Order Management,Security,Discount Approval Authority,Approval limits for discounts,High,Medium,Not Started,UR-534,5,,Not Started,Not Started,Yes,Discount control,Authority enforced
OM-224,Order Management,Security,Data Security,Customer and order data access,High,High,Not Started,UR-040,7,,Not Started,Not Started,Yes,Data isolation,Security enforced
OM-225,Order Management,Security,Audit Trail,Complete OM activity audit trail,Critical,Medium,Not Started,UR-140,6,,Not Started,Not Started,Yes,Compliance,Audit trail complete
OM-230,Order Management,Technical,Performance,Support high-volume order processing,Critical,High,Not Started,,8,,Not Started,Not Started,Yes,Scalability,Performance requirements met
OM-231,Order Management,Technical,Real-Time Processing,Real-time order and inventory updates,Critical,High,Not Started,,8,,Not Started,Not Started,Yes,Current data,Real-time works
OM-232,Order Management,Technical,API Integration,REST APIs for OM operations,High,High,Not Started,,9,,Not Started,Not Started,Yes,System integration,APIs functional
OM-240,Order Management,Compliance,Revenue Recognition Compliance,ASC 606 IFRS 15 compliance,High,High,Not Started,AR-360,8,,Not Started,Not Started,Yes,Revenue standards,Compliance met
OM-241,Order Management,Compliance,SOX Compliance,SOX controls for order management,High,High,Not Started,UR-271,7,,Not Started,Not Started,Yes,Regulatory compliance,SOX compliant
