Table_ID,Module_ID,Module_Name,Table_Name,Table_Description,Primary_Key,Key_Columns,Indexes,Foreign_Keys,Estimated_Rows,Audit_Trail,Comments
GL-T012,GL,General Ledger,GL_BUDGET_HEADERS,Budget headers,BUDGET_ID,"BUDGET_ID, LEDGER_ID, BUDGET_NAME, FISCAL_YEAR, STATUS","IDX_GL_BUDGET_YEAR, IDX_GL_BUDGET_STATUS","LEDGER_ID->GL_LEDGERS(LEDGER_ID)",1000,Yes,Annual budgets
GL-T013,GL,General Ledger,GL_BUDGET_LINES,Budget line details,BUDGET_LINE_ID,"BUDGET_LINE_ID, BUDGET_ID, ACCOUNT_ID, PERIOD_ID, AMOUNT","IDX_GL_BUDGETLINES_BUDGET, IDX_GL_BUDGETLINES_ACCT","BUDGET_ID->GL_BUDGET_HEADERS(BUDGET_ID), ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",500000,Yes,Budget amounts by period
GL-T014,GL,General Ledger,GL_INTERCOMPANY_ORGS,Intercompany organizations,IC_ORG_ID,"IC_ORG_ID, LEDGER_ID, ORG_NAME, SETTLEMENT_ACCOUNT_ID","IDX_GL_IC_ORGS_LEDGER","LEDGER_ID->GL_LEDGERS(LEDGER_ID)",500,Yes,Legal entities for IC transactions
GL-T015,GL,General Ledger,GL_ALLOCATION_RULES,Allocation rule definitions,ALLOCATION_RULE_ID,"ALLOCATION_RULE_ID, RULE_NAME, ALLOCATION_METHOD, STATUS",IDX_GL_ALLOC_RULES_STATUS,None,500,Yes,Cost allocation configurations
GL-T016,GL,General Ledger,GL_AUDIT_TRAIL,GL audit log,AUDIT_ID,"AUDIT_ID, TABLE_NAME, RECORD_ID, ACTION, USER_ID, TIMESTAMP","IDX_GL_AUDIT_TABLE, IDX_GL_AUDIT_USER, IDX_GL_AUDIT_TIME",None,50000000,No,Complete change history

UR-T001,UR,User and Role Management,UR_USERS,User master data,USER_ID,"USER_ID, USERNAME, EMAIL, STATUS, EMPLOYEE_ID","IDX_UR_USERS_USERNAME, IDX_UR_USERS_EMAIL, IDX_UR_USERS_STATUS",None,10000,Yes,System users
UR-T002,UR,User and Role Management,UR_ROLES,Role definitions,ROLE_ID,"ROLE_ID, ROLE_NAME, ROLE_TYPE, STATUS","IDX_UR_ROLES_NAME, IDX_UR_ROLES_TYPE",None,500,Yes,Security roles
UR-T003,UR,User and Role Management,UR_PERMISSIONS,Permission definitions,PERMISSION_ID,"PERMISSION_ID, PERMISSION_NAME, OBJECT_TYPE, ACTION","IDX_UR_PERMS_OBJECT, IDX_UR_PERMS_ACTION",None,5000,Yes,Granular permissions
UR-T004,UR,User and Role Management,UR_ROLE_PERMISSIONS,Role-permission assignments,ROLE_PERMISSION_ID,"ROLE_PERMISSION_ID, ROLE_ID, PERMISSION_ID","IDX_UR_RP_ROLE, IDX_UR_RP_PERMISSION","ROLE_ID->UR_ROLES(ROLE_ID), PERMISSION_ID->UR_PERMISSIONS(PERMISSION_ID)",25000,Yes,Many-to-many mapping
UR-T005,UR,User and Role Management,UR_USER_ROLES,User-role assignments,USER_ROLE_ID,"USER_ROLE_ID, USER_ID, ROLE_ID, START_DATE, END_DATE","IDX_UR_UR_USER, IDX_UR_UR_ROLE","USER_ID->UR_USERS(USER_ID), ROLE_ID->UR_ROLES(ROLE_ID)",50000,Yes,Effective-dated role assignments
UR-T006,UR,User and Role Management,UR_DATA_SECURITY_POLICIES,Data security policies,POLICY_ID,"POLICY_ID, POLICY_NAME, OBJECT_TYPE, FILTER_CRITERIA",IDX_UR_DSP_OBJECT,None,1000,Yes,Row-level security rules
UR-T007,UR,User and Role Management,UR_USER_DATA_ACCESS,User data access grants,USER_DATA_ACCESS_ID,"USER_DATA_ACCESS_ID, USER_ID, POLICY_ID, LEDGER_ID, BU_ID","IDX_UR_UDA_USER, IDX_UR_UDA_POLICY","USER_ID->UR_USERS(USER_ID), POLICY_ID->UR_DATA_SECURITY_POLICIES(POLICY_ID)",100000,Yes,User access to specific data
UR-T008,UR,User and Role Management,UR_PASSWORD_HISTORY,Password history,PASSWORD_HISTORY_ID,"PASSWORD_HISTORY_ID, USER_ID, PASSWORD_HASH, CREATED_DATE","IDX_UR_PWDHIST_USER, IDX_UR_PWDHIST_DATE","USER_ID->UR_USERS(USER_ID)",50000,No,Password change history
UR-T009,UR,User and Role Management,UR_LOGIN_HISTORY,Login audit log,LOGIN_ID,"LOGIN_ID, USER_ID, LOGIN_TIME, LOGOUT_TIME, IP_ADDRESS, STATUS","IDX_UR_LOGIN_USER, IDX_UR_LOGIN_TIME","USER_ID->UR_USERS(USER_ID)",10000000,No,User login tracking
UR-T010,UR,User and Role Management,UR_SESSION_TOKENS,Active user sessions,SESSION_ID,"SESSION_ID, USER_ID, TOKEN, START_TIME, EXPIRY_TIME","IDX_UR_SESSION_USER, IDX_UR_SESSION_TOKEN","USER_ID->UR_USERS(USER_ID)",10000,No,Active session management

AP-T001,AP,Accounts Payable,AP_SUPPLIERS,Supplier master data,SUPPLIER_ID,"SUPPLIER_ID, SUPPLIER_NUMBER, SUPPLIER_NAME, TAX_ID, STATUS","IDX_AP_SUPP_NUMBER, IDX_AP_SUPP_NAME, IDX_AP_SUPP_TAX",None,50000,Yes,Vendor master records
AP-T002,AP,Accounts Payable,AP_SUPPLIER_SITES,Supplier site details,SUPPLIER_SITE_ID,"SUPPLIER_SITE_ID, SUPPLIER_ID, SITE_NAME, ADDRESS_ID, PAYMENT_TERMS","IDX_AP_SITES_SUPPLIER, IDX_AP_SITES_NAME","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",100000,Yes,Supplier locations
AP-T003,AP,Accounts Payable,AP_INVOICES,Invoice headers,INVOICE_ID,"INVOICE_ID, SUPPLIER_ID, INVOICE_NUMBER, INVOICE_DATE, TOTAL_AMOUNT, STATUS","IDX_AP_INV_SUPPLIER, IDX_AP_INV_NUMBER, IDX_AP_INV_DATE, IDX_AP_INV_STATUS","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",5000000,Yes,AP invoice headers
AP-T004,AP,Accounts Payable,AP_INVOICE_LINES,Invoice line details,INVOICE_LINE_ID,"INVOICE_LINE_ID, INVOICE_ID, LINE_NUMBER, AMOUNT, ACCOUNT_ID","IDX_AP_INVLINES_INVOICE, IDX_AP_INVLINES_ACCOUNT","INVOICE_ID->AP_INVOICES(INVOICE_ID), ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",20000000,Yes,Invoice line items
AP-T005,AP,Accounts Payable,AP_INVOICE_DISTRIBUTIONS,Invoice accounting distributions,DISTRIBUTION_ID,"DISTRIBUTION_ID, INVOICE_LINE_ID, ACCOUNT_ID, AMOUNT, PROJECT_ID","IDX_AP_DIST_LINE, IDX_AP_DIST_ACCOUNT","INVOICE_LINE_ID->AP_INVOICE_LINES(INVOICE_LINE_ID), ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",25000000,Yes,GL distributions
AP-T006,AP,Accounts Payable,AP_PAYMENTS,Payment headers,PAYMENT_ID,"PAYMENT_ID, PAYMENT_NUMBER, PAYMENT_DATE, PAYMENT_METHOD, BANK_ACCOUNT_ID, STATUS","IDX_AP_PMT_NUMBER, IDX_AP_PMT_DATE, IDX_AP_PMT_STATUS",None,3000000,Yes,Payment batch headers
AP-T007,AP,Accounts Payable,AP_PAYMENT_SCHEDULES,Payment schedules,SCHEDULE_ID,"SCHEDULE_ID, INVOICE_ID, DUE_DATE, AMOUNT_DUE, AMOUNT_PAID, STATUS","IDX_AP_SCHED_INVOICE, IDX_AP_SCHED_DUE","INVOICE_ID->AP_INVOICES(INVOICE_ID)",6000000,Yes,Invoice payment terms
AP-T008,AP,Accounts Payable,AP_PAYMENT_LINES,Payment line details,PAYMENT_LINE_ID,"PAYMENT_LINE_ID, PAYMENT_ID, INVOICE_ID, AMOUNT","IDX_AP_PMTLINES_PMT, IDX_AP_PMTLINES_INV","PAYMENT_ID->AP_PAYMENTS(PAYMENT_ID), INVOICE_ID->AP_INVOICES(INVOICE_ID)",10000000,Yes,Invoices paid
AP-T009,AP,Accounts Payable,AP_HOLDS,Invoice holds,HOLD_ID,"HOLD_ID, INVOICE_ID, HOLD_TYPE, HOLD_REASON, RELEASE_DATE","IDX_AP_HOLDS_INVOICE, IDX_AP_HOLDS_TYPE","INVOICE_ID->AP_INVOICES(INVOICE_ID)",500000,Yes,Payment holds
AP-T010,AP,Accounts Payable,AP_PREPAYMENTS,Prepayment records,PREPAYMENT_ID,"PREPAYMENT_ID, SUPPLIER_ID, PREPAYMENT_NUMBER, AMOUNT, APPLIED_AMOUNT","IDX_AP_PREPAY_SUPPLIER, IDX_AP_PREPAY_NUMBER","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",200000,Yes,Supplier prepayments
AP-T011,AP,Accounts Payable,AP_CREDIT_MEMOS,Credit memos,CREDIT_MEMO_ID,"CREDIT_MEMO_ID, SUPPLIER_ID, CREDIT_NUMBER, CREDIT_DATE, AMOUNT","IDX_AP_CM_SUPPLIER, IDX_AP_CM_NUMBER","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",500000,Yes,Supplier credits
AP-T012,AP,Accounts Payable,AP_EXPENSE_REPORTS,Employee expense reports,EXPENSE_REPORT_ID,"EXPENSE_REPORT_ID, EMPLOYEE_ID, REPORT_NUMBER, REPORT_DATE, TOTAL_AMOUNT, STATUS","IDX_AP_EXP_EMPLOYEE, IDX_AP_EXP_NUMBER, IDX_AP_EXP_STATUS",None,1000000,Yes,Employee expense claims

AR-T001,AR,Accounts Receivable,AR_CUSTOMERS,Customer master data,CUSTOMER_ID,"CUSTOMER_ID, CUSTOMER_NUMBER, CUSTOMER_NAME, TAX_ID, STATUS","IDX_AR_CUST_NUMBER, IDX_AR_CUST_NAME, IDX_AR_CUST_TAX",None,100000,Yes,Customer master records
AR-T002,AR,Accounts Receivable,AR_CUSTOMER_SITES,Customer site details,CUSTOMER_SITE_ID,"CUSTOMER_SITE_ID, CUSTOMER_ID, SITE_NAME, ADDRESS_ID, PAYMENT_TERMS","IDX_AR_SITES_CUSTOMER, IDX_AR_SITES_NAME","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",200000,Yes,Customer bill-to/ship-to locations
AR-T003,AR,Accounts Receivable,AR_INVOICES,Invoice headers,INVOICE_ID,"INVOICE_ID, CUSTOMER_ID, INVOICE_NUMBER, INVOICE_DATE, TOTAL_AMOUNT, STATUS","IDX_AR_INV_CUSTOMER, IDX_AR_INV_NUMBER, IDX_AR_INV_DATE, IDX_AR_INV_STATUS","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",10000000,Yes,AR invoice headers
AR-T004,AR,Accounts Receivable,AR_INVOICE_LINES,Invoice line details,INVOICE_LINE_ID,"INVOICE_LINE_ID, INVOICE_ID, LINE_NUMBER, ITEM_ID, QUANTITY, UNIT_PRICE, AMOUNT","IDX_AR_INVLINES_INVOICE, IDX_AR_INVLINES_ITEM","INVOICE_ID->AR_INVOICES(INVOICE_ID)",40000000,Yes,Invoice line items
AR-T005,AR,Accounts Receivable,AR_INVOICE_DISTRIBUTIONS,Invoice accounting distributions,DISTRIBUTION_ID,"DISTRIBUTION_ID, INVOICE_LINE_ID, ACCOUNT_ID, AMOUNT","IDX_AR_DIST_LINE, IDX_AR_DIST_ACCOUNT","INVOICE_LINE_ID->AR_INVOICE_LINES(INVOICE_LINE_ID), ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",50000000,Yes,Revenue recognition distributions
AR-T006,AR,Accounts Receivable,AR_RECEIPTS,Cash receipt headers,RECEIPT_ID,"RECEIPT_ID, RECEIPT_NUMBER, RECEIPT_DATE, CUSTOMER_ID, AMOUNT, PAYMENT_METHOD","IDX_AR_RCPT_NUMBER, IDX_AR_RCPT_DATE, IDX_AR_RCPT_CUSTOMER","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",5000000,Yes,Customer payments
AR-T007,AR,Accounts Receivable,AR_RECEIPT_APPLICATIONS,Receipt applications,APPLICATION_ID,"APPLICATION_ID, RECEIPT_ID, INVOICE_ID, APPLIED_AMOUNT, APPLICATION_DATE","IDX_AR_APP_RECEIPT, IDX_AR_APP_INVOICE","RECEIPT_ID->AR_RECEIPTS(RECEIPT_ID), INVOICE_ID->AR_INVOICES(INVOICE_ID)",8000000,Yes,Payments applied to invoices
AR-T008,AR,Accounts Receivable,AR_ADJUSTMENTS,Invoice adjustments,ADJUSTMENT_ID,"ADJUSTMENT_ID, INVOICE_ID, ADJUSTMENT_TYPE, AMOUNT, REASON","IDX_AR_ADJ_INVOICE, IDX_AR_ADJ_TYPE","INVOICE_ID->AR_INVOICES(INVOICE_ID)",1000000,Yes,Invoice adjustments
AR-T009,AR,Accounts Receivable,AR_CREDIT_MEMOS,Credit memos,CREDIT_MEMO_ID,"CREDIT_MEMO_ID, CUSTOMER_ID, CREDIT_NUMBER, CREDIT_DATE, AMOUNT, STATUS","IDX_AR_CM_CUSTOMER, IDX_AR_CM_NUMBER, IDX_AR_CM_STATUS","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",2000000,Yes,Customer credits
AR-T010,AR,Accounts Receivable,AR_DEBIT_MEMOS,Debit memos,DEBIT_MEMO_ID,"DEBIT_MEMO_ID, CUSTOMER_ID, DEBIT_NUMBER, DEBIT_DATE, AMOUNT, STATUS","IDX_AR_DM_CUSTOMER, IDX_AR_DM_NUMBER","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",500000,Yes,Additional charges
AR-T011,AR,Accounts Receivable,AR_AGING_BUCKETS,Aging bucket configuration,BUCKET_ID,"BUCKET_ID, BUCKET_NAME, FROM_DAYS, TO_DAYS",IDX_AR_BUCKET_NAME,None,10,Yes,Aging period definitions
AR-T012,AR,Accounts Receivable,AR_DUNNING_LETTERS,Dunning letter log,DUNNING_ID,"DUNNING_ID, CUSTOMER_ID, LETTER_DATE, DUNNING_LEVEL, AMOUNT_DUE","IDX_AR_DUNN_CUSTOMER, IDX_AR_DUNN_DATE","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",500000,Yes,Collection letter history

PO-T001,PO,Purchasing,PO_SUPPLIERS,Supplier master (shared),SUPPLIER_ID,"SUPPLIER_ID, SUPPLIER_NUMBER, SUPPLIER_NAME",IDX_PO_SUPP_NUMBER,"SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",50000,Yes,Links to AP supplier master
PO-T002,PO,Purchasing,PO_ITEMS,Purchasable items,ITEM_ID,"ITEM_ID, ITEM_NUMBER, ITEM_DESCRIPTION, UOM, ITEM_TYPE","IDX_PO_ITEMS_NUMBER, IDX_PO_ITEMS_TYPE",None,200000,Yes,Items that can be purchased
PO-T003,PO,Purchasing,PO_REQUISITIONS,Purchase requisition headers,REQUISITION_ID,"REQUISITION_ID, REQUISITION_NUMBER, REQUESTOR_ID, REQUEST_DATE, STATUS","IDX_PO_REQ_NUMBER, IDX_PO_REQ_REQUESTOR, IDX_PO_REQ_STATUS",None,2000000,Yes,Purchase requests
PO-T004,PO,Purchasing,PO_REQUISITION_LINES,Requisition line details,REQUISITION_LINE_ID,"REQUISITION_LINE_ID, REQUISITION_ID, LINE_NUMBER, ITEM_ID, QUANTITY, NEED_BY_DATE","IDX_PO_REQLINES_REQ, IDX_PO_REQLINES_ITEM","REQUISITION_ID->PO_REQUISITIONS(REQUISITION_ID), ITEM_ID->PO_ITEMS(ITEM_ID)",8000000,Yes,Requisition line items
PO-T005,PO,Purchasing,PO_HEADERS,Purchase order headers,PO_ID,"PO_ID, PO_NUMBER, SUPPLIER_ID, ORDER_DATE, TOTAL_AMOUNT, STATUS","IDX_PO_HDR_NUMBER, IDX_PO_HDR_SUPPLIER, IDX_PO_HDR_STATUS","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",5000000,Yes,Purchase order headers
PO-T006,PO,Purchasing,PO_LINES,Purchase order lines,PO_LINE_ID,"PO_LINE_ID, PO_ID, LINE_NUMBER, ITEM_ID, QUANTITY, UNIT_PRICE, AMOUNT","IDX_PO_LINES_PO, IDX_PO_LINES_ITEM","PO_ID->PO_HEADERS(PO_ID), ITEM_ID->PO_ITEMS(ITEM_ID)",20000000,Yes,PO line items
PO-T007,PO,Purchasing,PO_SHIPMENTS,PO shipment schedules,SHIPMENT_ID,"SHIPMENT_ID, PO_LINE_ID, SHIPMENT_NUMBER, QUANTITY, SHIP_TO_LOCATION, NEED_BY_DATE","IDX_PO_SHIP_LINE, IDX_PO_SHIP_LOCATION","PO_LINE_ID->PO_LINES(PO_LINE_ID)",25000000,Yes,Delivery schedules
PO-T008,PO,Purchasing,PO_DISTRIBUTIONS,PO accounting distributions,DISTRIBUTION_ID,"DISTRIBUTION_ID, PO_LINE_ID, ACCOUNT_ID, AMOUNT, PROJECT_ID","IDX_PO_DIST_LINE, IDX_PO_DIST_ACCOUNT","PO_LINE_ID->PO_LINES(PO_LINE_ID), ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",30000000,Yes,Expense/asset distributions
PO-T009,PO,Purchasing,PO_RECEIPTS,Receipt headers,RECEIPT_ID,"RECEIPT_ID, RECEIPT_NUMBER, RECEIPT_DATE, SUPPLIER_ID, STATUS","IDX_PO_RCPT_NUMBER, IDX_PO_RCPT_DATE, IDX_PO_RCPT_SUPPLIER","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",3000000,Yes,Goods receipt headers
PO-T010,PO,Purchasing,PO_RECEIPT_LINES,Receipt line details,RECEIPT_LINE_ID,"RECEIPT_LINE_ID, RECEIPT_ID, PO_LINE_ID, QUANTITY_RECEIVED","IDX_PO_RCPTLINES_RCPT, IDX_PO_RCPTLINES_PO","RECEIPT_ID->PO_RECEIPTS(RECEIPT_ID), PO_LINE_ID->PO_LINES(PO_LINE_ID)",10000000,Yes,Received quantities
PO-T011,PO,Purchasing,PO_CONTRACTS,Blanket purchase agreements,CONTRACT_ID,"CONTRACT_ID, CONTRACT_NUMBER, SUPPLIER_ID, START_DATE, END_DATE, TOTAL_AMOUNT","IDX_PO_CONT_NUMBER, IDX_PO_CONT_SUPPLIER","SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",50000,Yes,Long-term agreements
PO-T012,PO,Purchasing,PO_APPROVALS,PO approval workflow,APPROVAL_ID,"APPROVAL_ID, PO_ID, APPROVER_ID, APPROVAL_LEVEL, STATUS, DECISION_DATE","IDX_PO_APPR_PO, IDX_PO_APPR_APPROVER","PO_ID->PO_HEADERS(PO_ID)",10000000,Yes,Approval history

INV-T001,INV,Inventory,INV_ORGANIZATIONS,Inventory organizations,ORG_ID,"ORG_ID, ORG_CODE, ORG_NAME, ORG_TYPE",IDX_INV_ORG_CODE,None,500,Yes,Warehouses and plants
INV-T002,INV,Inventory,INV_ITEMS,Item master data,ITEM_ID,"ITEM_ID, ITEM_NUMBER, ITEM_DESCRIPTION, UOM, ITEM_TYPE, STATUS","IDX_INV_ITEMS_NUMBER, IDX_INV_ITEMS_TYPE",None,500000,Yes,Inventory item master
INV-T003,INV,Inventory,INV_ITEM_ORGANIZATIONS,Item-org assignments,ITEM_ORG_ID,"ITEM_ORG_ID, ITEM_ID, ORG_ID, PLANNING_METHOD, LEAD_TIME","IDX_INV_ITEMORG_ITEM, IDX_INV_ITEMORG_ORG","ITEM_ID->INV_ITEMS(ITEM_ID), ORG_ID->INV_ORGANIZATIONS(ORG_ID)",5000000,Yes,Item parameters by org
INV-T004,INV,Inventory,INV_ONHAND_QUANTITIES,On-hand inventory balances,ONHAND_ID,"ONHAND_ID, ITEM_ID, ORG_ID, SUBINVENTORY, LOCATOR_ID, LOT_NUMBER, QUANTITY","IDX_INV_OH_ITEM, IDX_INV_OH_ORG, IDX_INV_OH_SUBINV","ITEM_ID->INV_ITEMS(ITEM_ID), ORG_ID->INV_ORGANIZATIONS(ORG_ID)",10000000,No,Current stock levels
INV-T005,INV,Inventory,INV_TRANSACTIONS,Inventory transactions,TRANSACTION_ID,"TRANSACTION_ID, ITEM_ID, ORG_ID, TRANSACTION_TYPE, QUANTITY, TRANSACTION_DATE","IDX_INV_TXN_ITEM, IDX_INV_TXN_ORG, IDX_INV_TXN_DATE, IDX_INV_TXN_TYPE","ITEM_ID->INV_ITEMS(ITEM_ID), ORG_ID->INV_ORGANIZATIONS(ORG_ID)",100000000,Yes,All inventory movements
INV-T006,INV,Inventory,INV_SUBINVENTORIES,Subinventory definitions,SUBINVENTORY_ID,"SUBINVENTORY_ID, ORG_ID, SUBINVENTORY_CODE, SUBINVENTORY_NAME","IDX_INV_SUBINV_ORG, IDX_INV_SUBINV_CODE","ORG_ID->INV_ORGANIZATIONS(ORG_ID)",5000,Yes,Storage locations within orgs
INV-T007,INV,Inventory,INV_LOCATORS,Physical locators,LOCATOR_ID,"LOCATOR_ID, SUBINVENTORY_ID, LOCATOR_CODE, AISLE, RACK, BIN","IDX_INV_LOC_SUBINV, IDX_INV_LOC_CODE","SUBINVENTORY_ID->INV_SUBINVENTORIES(SUBINVENTORY_ID)",100000,Yes,Bin locations
INV-T008,INV,Inventory,INV_LOTS,Lot numbers,LOT_ID,"LOT_ID, ITEM_ID, LOT_NUMBER, EXPIRATION_DATE, STATUS","IDX_INV_LOTS_ITEM, IDX_INV_LOTS_NUMBER","ITEM_ID->INV_ITEMS(ITEM_ID)",5000000,Yes,Lot-controlled items
INV-T009,INV,Inventory,INV_SERIAL_NUMBERS,Serial numbers,SERIAL_ID,"SERIAL_ID, ITEM_ID, SERIAL_NUMBER, LOT_NUMBER, STATUS","IDX_INV_SERIAL_ITEM, IDX_INV_SERIAL_NUMBER","ITEM_ID->INV_ITEMS(ITEM_ID)",20000000,Yes,Serial-controlled items
INV-T010,INV,Inventory,INV_CYCLE_COUNTS,Cycle count headers,CYCLE_COUNT_ID,"CYCLE_COUNT_ID, ORG_ID, COUNT_NAME, COUNT_DATE, STATUS","IDX_INV_CC_ORG, IDX_INV_CC_DATE","ORG_ID->INV_ORGANIZATIONS(ORG_ID)",100000,Yes,Physical inventory counts
INV-T011,INV,Inventory,INV_CYCLE_COUNT_ENTRIES,Cycle count entries,COUNT_ENTRY_ID,"COUNT_ENTRY_ID, CYCLE_COUNT_ID, ITEM_ID, COUNTED_QUANTITY, SYSTEM_QUANTITY","IDX_INV_CCE_CC, IDX_INV_CCE_ITEM","CYCLE_COUNT_ID->INV_CYCLE_COUNTS(CYCLE_COUNT_ID), ITEM_ID->INV_ITEMS(ITEM_ID)",5000000,Yes,Count details
INV-T012,INV,Inventory,INV_TRANSFERS,Transfer orders,TRANSFER_ID,"TRANSFER_ID, FROM_ORG_ID, TO_ORG_ID, TRANSFER_DATE, STATUS","IDX_INV_XFER_FROM, IDX_INV_XFER_TO","FROM_ORG_ID->INV_ORGANIZATIONS(ORG_ID), TO_ORG_ID->INV_ORGANIZATIONS(ORG_ID)",2000000,Yes,Inter-org transfers

OM-T001,OM,Order Management,OM_CUSTOMERS,Customer master (shared),CUSTOMER_ID,"CUSTOMER_ID, CUSTOMER_NUMBER, CUSTOMER_NAME",IDX_OM_CUST_NUMBER,"CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",100000,Yes,Links to AR customer master
OM-T002,OM,Order Management,OM_ITEMS,Saleable items,ITEM_ID,"ITEM_ID, ITEM_NUMBER, ITEM_DESCRIPTION",IDX_OM_ITEMS_NUMBER,"ITEM_ID->INV_ITEMS(ITEM_ID)",200000,Yes,Items available for sale
OM-T003,OM,Order Management,OM_PRICE_LISTS,Price list headers,PRICE_LIST_ID,"PRICE_LIST_ID, PRICE_LIST_NAME, CURRENCY_CODE, START_DATE, END_DATE","IDX_OM_PL_NAME, IDX_OM_PL_CURRENCY",None,1000,Yes,Pricing lists
